iter	Passed	Remaining
436	1355	1125
437	1357	1122
438	1359	1118
439	1362	1114
440	1364	1111
441	1367	1107
442	1369	1103
443	1371	1099
444	1373	1096
445	1376	1092
446	1378	1088
447	1381	1085
448	1383	1081
449	1385	1077
450	1388	1074
451	1390	1070
452	1392	1066
453	1395	1063
454	1397	1059
455	1399	1055
456	1401	1052
457	1404	1048
458	1406	1044
459	1409	1041
460	1411	1037
461	1413	1034
462	1416	1030
463	1418	1027
464	1420	1023
465	1422	1019
466	1425	1016
467	1427	1012
468	1429	1008
469	1432	1005
470	1434	1001
471	1436	998
472	1438	994
473	1441	991
474	1443	987
475	1446	984
476	1448	980
477	1450	977
478	1453	973
479	1455	970
480	1457	966
481	1459	963
482	1462	959
483	1464	956
484	1466	952
485	1468	949
486	1471	945
487	1473	942
488	1476	938
489	1478	935
490	1480	931
491	1482	928
492	1485	924
493	1487	921
494	1490	918
495	1492	914
496	1494	911
497	1497	907
498	1499	904
499	1501	901
500	1504	897
501	1506	894
502	1508	890
503	1510	887
504	1513	883
505	1515	880
506	1517	877
507	1520	873
508	1522	870
509	1524	867
510	1527	863
511	1529	860
512	1531	856
513	1534	853
514	1536	850
515	1538	846
516	1540	843
517	1542	840
518	1545	836
519	1547	833
520	1550	830
521	1552	826
522	1554	823
523	1556	819
524	1559	816
525	1561	813
526	1566	811
527	1570	808
528	1575	807
529	1578	804
530	1583	802
531	1586	799
532	1588	795
533	1591	792
534	1593	789
535	1595	785
536	1598	782
537	1600	779
538	1602	776
539	1605	772
540	1607	769
541	1610	766
542	1612	763
543	1615	760
544	1617	756
545	1619	753
546	1622	750
547	1625	747
548	1627	744
549	1630	741
550	1632	737
551	1635	734
552	1637	731
553	1639	728
554	1642	724
555	1644	721
556	1647	718
557	1649	715
558	1651	712
559	1653	708
560	1656	705
561	1658	702
562	1660	699
563	1663	695
564	1665	692
565	1667	689
566	1669	686
567	1672	683
568	1674	679
569	1676	676
570	1679	673
571	1681	670
572	1683	667
573	1686	663
574	1688	660
575	1690	657
576	1693	654
577	1695	651
578	1697	647
579	1700	644
580	1702	641
581	1705	638
582	1707	635
583	1709	632
584	1711	629
585	1714	626
586	1716	622
587	1718	619
588	1721	616
589	1723	613
590	1726	610
591	1728	607
592	1730	604
593	1732	600
594	1735	597
595	1737	594
596	1739	591
597	1742	588
598	1744	585
599	1746	582
600	1749	579
601	1751	576
602	1753	572
603	1755	569
604	1758	566
605	1760	563
606	1763	560
607	1765	557
608	1768	554
609	1770	551
610	1772	548
